addr,location,agency,_X,_Y
서울특별시 마포구 월드컵로 212,마포구청사 2층 대강당 입구,마포구청,126.9018212,37.56691842
"서울특별시 영등포구 대림로 223, 명지춘혜병원 (대림동)",구급차 내,춘혜의료재단명지춘혜재활병원,126.8970273,37.50064672
"서울특별시 성동구 뚝섬로 379, 이마트 성수점 1층 (성수동2가)",1층 계산대 앞,이마트성수점,127.0534943,37.53992974
"서울특별시 강남구 남부순환로 2621, 에스앤아이 강남빌딩 (도곡동)",19층 복도,주식회사엘엑스세미콘,127.0366218,37.48525421
서울특별시 서대문구 수색로4가길 23 시립서대문농아인복지관 (남가좌동),1층 로비,시립서대문농아인복지관,126.9137989,37.57069475
서울특별시 중랑구 신내로21길 55  (신내동),1층식당앞,금성초등학교,127.0903909,37.6153216
서울특별시 도봉구 마들로 656,지하1층 심폐소생술교육장,도봉구청,127.0471316,37.6687165
서울특별시 서초구 신반포로 157(잠원동),반포동1-1신반포3차경남아)재건축현장5-1쪽문경비실,삼성물산신반포3차경남아파트재건축현장,127.0014599,37.50551422
"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-75보 2973 내부,엠티케어응급환자이송단,127.0142142,37.4891356
"서울특별시 강서구 마곡중앙10로 30, LG사이언스파크 (마곡동)",7층 브릿지,LG이노텍,126.8329522,37.56203366
"서울특별시 관악구 관악로 145, 관악구보건소 (봉천동)",1층 로비,관악구보건소,126.951828,37.47795887
"서울특별시 강남구 봉은사로 130, 노보텔 앰배서더 강남 서울 (역삼동)",1층 로비 현관문 옆,노보텔앰배서더강남,127.0289198,37.5052808
서울특별시 성북구 화랑로14길 5(하월곡동),L4연구동 1층,한국과학기술연구원,127.0453202,37.60434765
"서울특별시 강동구 성내로 80  (성내동, 올림픽파크한양수자인)",후문경비실,올림픽파크한양수자인아파트,127.1286129,37.52611249
"서울특별시 노원구 동일로203가길 29 브라운스톤중계 관리센터 (중계동, 브라운스톤중계)",1층 보안실,브라운스톤중계,127.0642845,37.63987705
"서울특별시 종로구 종로 14, 한국무역보험공사빌딩 (서린동)",지하5층,한국무역보험공사,126.9788628,37.56981283
서울특별시 강서구 마곡중앙로 지하 135 마곡나루역 (마곡동),마곡나루역 대합실,공항철도 마곡나루역,126.8276382,37.56582791
서울특별시 강동구 아리수로65길 60(고덕동),순환환기소 출입문 옆,태영건설,127.1554107,37.56412997
서울특별시 동대문구 경희대로 26 (회기동) 교무실 앞,교무실 맞은편(상담실 옆),경희여자고등학교,127.0561127,37.59379974
서울특별시 중랑구 면목로 299 (면목동),7층 중랑구 농아인쉼터  오른쪽 창측기둥,중랑구수어통역센터,127.0866769,37.5792413
"서울특별시 광진구 광장로1길 27, 서울광장초등학교 (광장동)",1층 보건실 맞은편 벽면,서울광장초등학교,127.1004383,37.54851385
"서울특별시 강서구 방화동로 지하30, 공항시장역(9호선) (공항동)",지하1층 GS25편의점 옆,서울시메트로9호선공항시장역,126.8104915,37.56355407
서울특별시 중구 청파로 426  (봉래동2가),2층 매장 정문,롯데쇼핑(주)롯데마트서울역점,126.9695138,37.55744887
